id,text,playCount,shareCount,commentCount,authorMeta_name,authorMeta_nickName,authorMeta_verified,musicMeta_musicName,musicMeta_musicAuthor,musicMeta_musicOriginal,videoMeta_duration
6898295232723471617,Who needs a giraffe carwash? 😂🦒😂 #giraffe #carwash #beeksebergen #brabant #holland #netherlands #happy #nature #cute #animal #themepark #car #funny,72500,95,40,themepark_explorers,Themepark Explorers,False,origineel geluid,Themepark Explorers,True,14
6895082457968725249,Lifehack when u see a pretty girl | Лайфхак когда понравилась девушка👋🤣  #thekiryalife #prank #reaction #pickupline #пранк #реакции #foryou,24800000,14400,4454,thekiryalife,Kirya Kolesnikov ,True,Love Story,Disco Lines,False,7
6896035426092453122,#foryou #voorjou,113800,71,25,its.nodin,its.Nodin {6.6k},False,origineel geluid,PrimeVideoNL,True,13
6900621838653869313,Heeft ooit iemand jou hard gebroken...😩,72300,21,79,quincyhoonakker_,Quincyhoonakker ,False,Justin Timberlake - Mirrors,Noah,True,10
6898020845189434625,the transition took way too long lol ib: @azzakabazzas @jamescharles #thereforeiam #billieeilish #transition #makeup #trend #thereforeiambillieeilish,632900,541,2968,nikkililly,nikki lilly,True,Therefore I Am,Billie Eilish,False,15
6875317312082201857,Achter de schermen nee ging niet in 1 keer goed. #fy #fypageシ #foryou #voorjou #behindthescene #soccer #voetbal #,202900,5,4,vlogdad,Sandro,False,Blah Blah Blah,Armin van Buuren,False,7
6883066746559794434,Golddigger prank parodie met een random meid 🤣,182800,26,77,nl_daniel,Daniël 💯,False,origineel geluid,Daniël 💯,True,12
6903969832719453445,Draft,141500,157,161,strongdoratheexplorer,Zummer 🇵🇷,False,Fuck It Up,Ocho Drippin,False,10
6893504738076167426,Choices? Je bent fantastisch! #businesscoach #zelfvertrouwen #presence #businessmentor #bedrijf #tiktokforbusiness #stappenplan #groeiendondernemen,36700,85,87,anoukjosedrayer,anouk,False,origineel geluid,anouk,True,15
6905077243240877313,je 3e @ heeft een mooie lach 😳😂 #voorjou #tiktoknl #dutch #drawing #tekenen #zotekenje #netherlands,34500,48,171,manoulucia,manou💗🎨,False,original sound,manou💗🎨,True,59
6903324940011916546,Reply to @.tendou_nugget5 train ride with #tendou #haikyuu#haikyuuedit#anime#animeedit#livewallpaper#animelivewallpaper#livewallpaperanime,125400,1878,1035,reus.fx,reus,False,original sound - slowed audios 😋,chillytunees,True,13
6898363189080214786,Antwoorden aan @www.lisa.n1 Wat willen jullie de volgende x in blackwhite challenge zien? 👁👄👁 #procreate #tekenen #blackwhitechallenge #draw #art,99900,12,454,chelseamelody,chelseamelody,False,origineel geluid,chelseamelody,True,59
6895808596605537537,Does anyone do this? 🤔 @christineyuns,317500,139,525,riovacci,Riovacci,False,original sound,Riovacci,True,48
6907268705248464129,උබලට බය නෑ 🤪👻😂😂😍,33700,66,38,sachingeethika,Sachin Geethika,False,original sound,"Ewon'z-Ka""",True,18
6887853904697101570,Antwoorden aan @sadeetje031 Pepijn zonder pe voor Jp #voorjou #fa2gang #fyp #hertje #Jp,76900,83,65,zopepijn,zopepijn,False,origineel geluid,zopepijn,True,34
6907966191059356929,Идеальные трюки: Угадайте самый сложный кадр | Real life trick shots: Guess the hardest shot 😎 #thekiryalife #trickshot,795900,127,509,thekiryalife,Kirya Kolesnikov ,True,Among Us,iamjuampi,False,25
6886026780914846978,Goedemorgen! #fyp #foryou #goedemorgen #powernap,58200,54,14,stijn_fransen,Stijn Fransen,False,origineel geluid,Maradonnie,True,6
6888423769107385601,Je zou maar 549 hebben lol onderlaag van de samenleving,59400,274,203,jessemiltenburg1,Jesse Miltenburg,False,origineel geluid,Jesse Miltenburg,True,56
6883594464900779270,#duet with @maximevdd #foryoupage #fyp #foryou #powerlifting #bodybuilding #deadlift #fitness #workout #fittok #powertok,95700,168,77,timmytimmadome,Tim Thebodeau,False,Hell 2 da Naw,Bullwinkle Boyz,False,7
6877179236386376961,huisgemaakte katjang! #foryou #fyp #voorjou #broodje #eten #koken #schnitzel #cooking #foodporn #vj #anythingface #foodie #food #youbetterrun #fypシ,620300,2267,579,haagschekeuken,HaagscheKeuken,False,"Relaxed BGM for events, cooking videos",Ma-No,False,59
6898328700476083457,Je gaat dit met je 1e@ en 3e@ delen😁insta:Sarkissakoo🔥#tiktok #dutch #komedie #voorjou #viraal #voorjoupagina #grapje #ouders #nederland #lachen#nl,223500,79,170,iamsarkis,Sarkis Sako,False,origineel geluid,Sarkis Sako,True,20
6903579807641095430,Reply to @mikeymousehouseboi,89100,69,568,bigslank31,Seth Shaw,False,original sound,Seth Shaw,True,15
6886619249889070337,Can you tell I want to be a @gymshark athlete? #fyp #foryou #foryoupage #fitness #bodybuilder #aesthetics #gymshark #workout #exercise,25900,18,87,evan_holmes_,Evan Holmes,False,оригинальный звук,__zzmeya.__,True,30
6896810007157935362,Odpowiedz użytk. @tedulrichsen  is this okay with you?😁 #behappy #positivevibesonly,40100,11,404,daniii158,Danusia Grudzińska,False,It's Tricky,RUN DMC,False,22
6899171884571626753,Kakashi mi fav🥰😂 { #kakashi #kakashihatake #naruto #anime #weeb #edit #animeedit #otaku #funny #xyzbca #fyp #fypage },351700,1548,758,lawliet18x,law (no spam de likes😡),False,sonido original,law (no spam de likes😡),True,26
6876512902929599745,Cuando tu novia es celosa 😂 #foryou #1m #b,1000000,113,387,cainguzman,Caín Guzmán,True,sonido original,Caín Guzmán,True,12
6878650367668653314,"Reply to @dmckevitt - those who know, know. Those who don’t, should. #opinion #preference #politics #goat",26900,2,68,benjamin_robert_graham,Benjamin_Graham,False,Red Kingdom,Tech N9ne,False,15
6884999522360052993,Abs routine 8 minutes #abdos #abs #absworkout #entrainementalamaison #tiktokacademie,684000,5077,152,gabinouvilla,Villarubias Gabin,False,Lalala,Y2K & bbno$,False,24
6905772202600189189,#costurar com @takemotodesu #linhacongelante #viral #foryou #viralizoou #linhacongelante #viralizoupostou,346100,24,41,falo_murillo,Murillo,False,som original,Murillo,True,7
